Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
u_get1hz.u_counter.u_reg.dout_$_SDFF_PP0__Q_1,1.25,3.420e-06,0.000e+00,1.363e-07,3.556e-06
u_get1hz.u_counter.u_reg.dout_$_SDFF_PP0__Q_19,1.25,3.419e-06,0.000e+00,1.363e-07,3.555e-06
u_get1hz.u_counter.u_reg.dout_$_SDFF_PP0__Q_11,1.25,3.418e-06,0.000e+00,1.363e-07,3.555e-06
u_get1hz.u_counter.u_reg.dout_$_SDFF_PP0__Q_18,1.25,3.418e-06,0.000e+00,1.363e-07,3.554e-06
u_get1hz.u_counter.u_reg.dout_$_SDFF_PP0__Q_7,1.25,3.418e-06,0.000e+00,1.363e-07,3.554e-06
u_get1hz.u_counter.u_reg.dout_$_SDFF_PP0__Q_5,1.25,3.418e-06,0.000e+00,1.363e-07,3.554e-06
u_get1hz.u_counter.u_reg.dout_$_SDFF_PP0__Q_16,1.25,3.417e-06,0.000e+00,1.363e-07,3.554e-06
u_get1hz.u_counter.u_reg.dout_$_SDFF_PP0__Q_15,1.25,3.417e-06,0.000e+00,1.363e-07,3.554e-06
u_get1hz.u_counter.u_reg.dout_$_SDFF_PP0__Q_13,1.25,3.417e-06,0.000e+00,1.363e-07,3.554e-06
u_get1hz.u_counter.u_reg.dout_$_SDFF_PP0__Q_3,1.25,3.417e-06,0.000e+00,1.363e-07,3.554e-06
u_reg_find_edge.dout_$_SDFF_PP0__Q_1,1.25,3.347e-06,0.000e+00,1.384e-07,3.485e-06
u_reg_find_edge.dout_$_SDFF_PP0__Q_4,1.25,3.347e-06,0.000e+00,1.384e-07,3.485e-06
u_reg_find_edge.dout_$_SDFF_PP0__Q_2,1.25,3.316e-06,0.000e+00,1.363e-07,3.452e-06
u_reg_find_edge.dout_$_SDFF_PP0__Q_3,1.25,3.316e-06,0.000e+00,1.363e-07,3.452e-06
u_reg_find_edge.dout_$_SDFF_PP0__Q,1.25,3.310e-06,0.000e+00,1.363e-07,3.446e-06
_1053_,1.25,2.690e-06,0.000e+00,3.601e-07,3.051e-06
_0886_,1.25,2.687e-06,0.000e+00,3.601e-07,3.047e-06
fanout_buf_1,1.25,2.358e-06,0.000e+00,6.364e-07,2.994e-06
u_get1hz.u_counter.u_reg.dout_$_SDFF_PP0__Q_31,1.25,2.886e-06,0.000e+00,1.016e-07,2.988e-06
_1535_,1.25,2.774e-06,0.000e+00,1.320e-07,2.906e-06
_1538_,1.25,2.774e-06,0.000e+00,1.320e-07,2.906e-06
_1537_,1.25,2.774e-06,0.000e+00,1.320e-07,2.906e-06
_1531_,1.25,2.774e-06,0.000e+00,1.320e-07,2.906e-06
_1533_,1.25,2.774e-06,0.000e+00,1.320e-07,2.906e-06
_1539_,1.25,2.774e-06,0.000e+00,1.320e-07,2.906e-06
_1541_,1.25,2.774e-06,0.000e+00,1.320e-07,2.906e-06
_1540_,1.25,2.774e-06,0.000e+00,1.320e-07,2.906e-06
_1530_,1.25,2.772e-06,0.000e+00,1.320e-07,2.904e-06
_1529_,1.25,2.740e-06,0.000e+00,1.320e-07,2.872e-06
_1534_,1.25,2.739e-06,0.000e+00,1.320e-07,2.871e-06
_1532_,1.25,2.739e-06,0.000e+00,1.320e-07,2.871e-06
_0985_,1.25,2.735e-06,0.000e+00,1.161e-07,2.851e-06
_1536_,1.25,2.699e-06,0.000e+00,1.320e-07,2.831e-06
_1028_,1.25,2.712e-06,0.000e+00,1.163e-07,2.828e-06
_1245_,1.25,2.364e-06,0.000e+00,4.539e-07,2.818e-06
_1274_,1.25,2.355e-06,0.000e+00,4.539e-07,2.809e-06
_1528_,1.25,2.643e-06,0.000e+00,1.320e-07,2.775e-06
_1284_,1.25,2.316e-06,0.000e+00,4.360e-07,2.752e-06
_1041_,1.25,2.518e-06,0.000e+00,1.162e-07,2.634e-06
_0887_,1.25,2.010e-06,0.000e+00,3.600e-07,2.370e-06
_1054_,1.25,1.982e-06,0.000e+00,3.600e-07,2.342e-06
_0888_,1.25,2.116e-06,0.000e+00,9.349e-08,2.209e-06
u_counter_hour_high.u_reg.dout_$_SDFFE_PP0P__Q,1.25,1.923e-06,0.000e+00,1.363e-07,2.060e-06
u_counter_min_high.u_reg.dout_$_SDFFE_PP0P__Q,1.25,1.907e-06,0.000e+00,1.363e-07,2.043e-06
u_counter_min_high.u_reg.dout_$_SDFFE_PP0P__Q_1,1.25,1.900e-06,0.000e+00,1.363e-07,2.036e-06
genblk1[4].genblk1.i_stopwatch1.u_reg.dout_$_SDFFE_PP0P__Q_2,1.25,1.898e-06,0.000e+00,1.351e-07,2.033e-06
u_counter_sec_low.u_reg.dout_$_SDFFE_PP0P__Q_2,1.25,1.895e-06,0.000e+00,1.363e-07,2.031e-06
u_counter_sec_high.u_reg.dout_$_SDFFE_PP0P__Q,1.25,1.892e-06,0.000e+00,1.363e-07,2.029e-06
u_counter_sec_high.u_reg.dout_$_SDFFE_PP0P__Q_1,1.25,1.890e-06,0.000e+00,1.363e-07,2.026e-06
u_counter_hour_low.u_reg.dout_$_SDFFE_PP0P__Q_1,1.25,1.888e-06,0.000e+00,1.363e-07,2.024e-06
